feature_cd,name,group_name,is_enabled,match_keywords,ng_keywords
100,学歴不問,〜な人歓迎,1,学歴,NULL
101,留学生歓迎,〜な人歓迎,1,留学生,留学生不可
102,外国人歓迎,〜な人歓迎,1,"外国人
留学生","外国人不可
留学生不可"
103,未経験歓迎,〜な人歓迎,1,"未経験
初心者",NULL
104,学生歓迎,〜な人歓迎,1,学生,学生不可
105,年齢不問,〜な人歓迎,1,年齢,NULL
106,高校生歓迎,〜な人歓迎,1,高校生,"高校生不可
学生不可"
107,大学生歓迎,〜な人歓迎,1,大学生,"大学生不可
学生不可"
108,主婦・主夫歓迎,〜な人歓迎,1,"主婦
主夫",NULL
109,シルバー歓迎,〜な人歓迎,1,"シルバー世代
シルバーの
シルバー歓迎",NULL
110,フリーター歓迎,〜な人歓迎,1,フリーター,NULL
111,副業・Ｗワーク歓迎,〜な人歓迎,1,"副業
wワーク",NULL
200,日払い・週払い可,働き方,1,"日払い
週払い","15日払い
25日払い"
201,短時間可,働き方,1,"短時間
2時間
3時間
4時間",NULL
202,オープニングスタッフ,働き方,1,オープニングスタッフ,NULL
203,土日祝休み,働き方,1,"週休2日
土日祝休",NULL
204,週１日からOK,働き方,1,週1,NULL
205,短期・単発OK,働き方,1,"短期
単発",NULL
206,長期歓迎,働き方,1,長期,NULL
207,土日祝のみ勤務,働き方,1,土日祝,土日祝休
208,リゾートバイト,働き方,1,リゾートバイト,NULL
209,フレックスタイム制,働き方,1,フレックス,NULL
210,平日のみ可,働き方,1,平日のみ,NULL
211,体を動かす仕事,働き方,1,体を動かす仕事,NULL
212,在宅ワーク・内職,働き方,1,"在宅
内職
リモート",NULL
213,春・夏・冬休み期間,働き方,1,"夏休み
春休み
冬休み",NULL
300,高収入,待遇,1,高収入,NULL
301,交通費支給,待遇,1,交通費,NULL
302,昇給あり,待遇,1,昇給,NULL
303,社員割引あり,待遇,1,"社員割引
社割",NULL
304,制服あり,待遇,1,制服,NULL
305,社員登用あり,待遇,1,社員登用,NULL
306,託児所あり,待遇,1,託児所,NULL
307,食事付き,待遇,1,"まかない
食事補助
食事付き",NULL
308,社会保険完備,待遇,1,社会保険,NULL
309,寮・社宅あり,待遇,1,"寮
社宅",NULL
400,英語力・語学力を活かす,経験・能力,0,"英語
語学
英語力・語学力が身に付く",NULL
401,資格を活かせる,経験・能力,0,資格,NULL
402,PCスキルを活かす,経験・能力,0,PCスキル,NULL
500,ネイル可,自由な見た目,1,ネイル,ネイル不可
501,ピアス可,自由な見た目,1,ピアス,ピアス不可
502,髪色自由,自由な見た目,1,"髪色
茶髪
金髪","茶髪不可
金髪不可"
503,服装自由,自由な見た目,1,服装,NULL
504,ヒゲ可,自由な見た目,1,"髭
ヒゲ","髭不可
ヒゲ不可"
,,,,,
,,,,,
GPT指示,読み込んで欲しい,,,,
