,,,,,,
,occupation_cd1_v2,occupation_cd2_v2,occupation_cd3_v2,occupation_cd_name,jobtype_detail_v2,jobtype_detail_name
,100,100,100,飲食・フード系,5,ホールスタッフ
,100,100,100,飲食・フード系,6,キッチンスタッフ
,100,100,100,飲食・フード系,4,カフェ・コーヒー・喫茶店
,100,100,100,飲食・フード系,3,ファストフード
,100,100,100,飲食・フード系,1,レストラン・ファミレス
,100,100,100,飲食・フード系,1,レストラン・ファミレス
,100,100,100,飲食・フード系,2,居酒屋・バー
,100,100,100,飲食・フード系,1,レストラン・ファミレス
,300,300,300,配送・引越・ドライバー系,27,デリバリー・ケータリング
,100,100,100,飲食・フード系,8,その他(飲食・フード系)
,100,100,100,飲食・フード系,8,その他(飲食・フード系)
,200,200,200,販売・サービス・アパレル系,9,スーパー・コンビニ
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,12,アパレル・ファッション
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,12,アパレル・ファッション
,200,200,200,販売・サービス・アパレル系,15,家電・携帯販売
,200,200,200,販売・サービス・アパレル系,15,家電・携帯販売
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,10,食品販売
,200,200,200,販売・サービス・アパレル系,11,ドラッグストア
,200,200,200,販売・サービス・アパレル系,20,ガソリンスタンド
,200,200,200,販売・サービス・アパレル系,15,家電・携帯販売
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,19,ホテル・旅館
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,1000,1000,1000,イベント・キャンペーン系,71,キャンペーン・サンプリング・PR
,900,900,900,アミューズメント・エンタメ系,68,エンタメ・芸能・マスコミ
,1000,1000,1000,イベント・キャンペーン系,72,企画・運営・イベントスタッフ
,1000,1000,1000,イベント・キャンペーン系,73,その他(イベント・キャンペーン系)
,1000,1000,1000,イベント・キャンペーン系,70,モニター・調査・アンケート
,900,900,900,アミューズメント・エンタメ系,67,遊園地・テーマパーク・レジャー
,900,900,900,アミューズメント・エンタメ系,65,カラオケ・アミューズメント
